iter	Logloss
0	0.6892931914
1	0.6858420976
2	0.6823538262
3	0.6790638665
4	0.6754496039
5	0.6719343547
6	0.6684901103
7	0.6651447303
8	0.6618789408
9	0.658667256
10	0.6561049639
11	0.6532606869
12	0.6502736678
13	0.6473289125
14	0.6448976572
15	0.6424075636
16	0.6401574623
17	0.6380053437
18	0.6358899007
19	0.6337085256
20	0.6316609679
21	0.6294285534
22	0.6273637565
23	0.6253003295
24	0.6231189138
25	0.6211488714
26	0.6193290853
27	0.6171329125
28	0.6152260488
29	0.6134998915
30	0.6113833499
31	0.6098130913
32	0.608083082
33	0.6064343315
34	0.6048595834
35	0.6030187197
36	0.601217597
37	0.5997489697
38	0.5982678639
39	0.5967990738
40	0.5954763624
41	0.5940682825
42	0.5923841178
43	0.5910043719
44	0.5897368776
45	0.5885402117
46	0.5870296596
47	0.5856904008
48	0.5845372059
49	0.5833613193
50	0.5819742628
51	0.5810862748
52	0.5799490306
53	0.5788589737
54	0.5779294408
55	0.5766668428
56	0.5757947648
57	0.5748372232
58	0.5736836079
59	0.5725717274
60	0.5715923486
61	0.5707323421
62	0.5696633087
63	0.568782333
64	0.5680117641
65	0.5671962729
66	0.5661939176
67	0.5654299813
68	0.5644658886
69	0.5637598819
70	0.5627965216
71	0.5621457047
72	0.5612451705
73	0.5604824685
74	0.5598763976
75	0.5592660135
76	0.5583652215
77	0.5576576144
78	0.5568623328
79	0.5562689709
80	0.5557255769
81	0.5550941965
82	0.5542734699
83	0.5535095064
84	0.552802808
85	0.5521738691
86	0.5514902014
87	0.5509983758
88	0.5504678264
89	0.5498467407
90	0.5491276046
91	0.5485994424
92	0.5479409486
93	0.5473278518
94	0.5468787512
95	0.5463927443
96	0.5460254179
97	0.5454515874
98	0.5450075459
99	0.5444737684
100	0.5440023423
101	0.5436322354
102	0.5430453568
103	0.542585758
104	0.5420575144
105	0.5416942571
106	0.5413495139
107	0.5408784675
108	0.5403498034
109	0.5399987668
110	0.5396761999
111	0.5392966529
112	0.538839387
113	0.5384213332
114	0.5379303891
115	0.5375282724
116	0.5372366574
117	0.5369666355
118	0.536666055
119	0.5363499037
120	0.5360613541
121	0.5357775381
122	0.5355281733
123	0.535157334
124	0.5349071826
125	0.534565342
126	0.5341807764
127	0.5338901516
128	0.5336175255
129	0.5332475
130	0.5329280256
131	0.5326926312
132	0.5324258374
133	0.5321091164
134	0.5318940131
135	0.5315868136
136	0.5313849889
137	0.5310540398
138	0.5308047836
139	0.5305059257
140	0.5301812972
141	0.5298890854
142	0.5296077515
143	0.5293527173
144	0.5290780566
145	0.5288649878
146	0.5285947217
147	0.5283981732
148	0.5281797739
149	0.5279654844
150	0.5277475056
151	0.5275234232
152	0.5273374542
153	0.5271213472
154	0.5268574424
155	0.5266050665
156	0.5264437289
157	0.5262811569
158	0.5260676676
159	0.5258713768
160	0.5256530589
161	0.5254419296
162	0.5252447165
163	0.5250928597
164	0.5248649117
165	0.5247156591
166	0.5245166014
167	0.5243609739
168	0.5242063094
169	0.5240492578
170	0.5238745194
171	0.5237308142
172	0.5235941485
173	0.5234193016
174	0.5232674312
175	0.5230859653
176	0.5229262146
177	0.5227601025
178	0.5225710139
179	0.5223738686
180	0.5222282646
181	0.5220996556
182	0.5219586089
183	0.5218294302
184	0.5216793909
185	0.5215446784
186	0.5214036859
187	0.5212943506
188	0.5211424531
189	0.5210530833
190	0.5209631574
191	0.5208404349
192	0.5206917791
193	0.5205989642
194	0.5204686326
195	0.5203373516
196	0.5202094208
197	0.5200855726
198	0.519981622
199	0.5198927947
200	0.5197606864
201	0.5196521513
202	0.5195410664
203	0.5194429345
204	0.519351815
205	0.5192317781
206	0.5191087709
207	0.5190152778
208	0.5189069462
209	0.5187888489
210	0.5186994926
211	0.5185721586
212	0.5184598529
213	0.5183765324
214	0.5182812082
215	0.5181948902
216	0.5181050728
217	0.5180255093
218	0.5179273233
219	0.5177911458
220	0.5177015183
221	0.5175872595
222	0.5175350672
223	0.5174204286
224	0.5173282782
225	0.5172443474
226	0.5171561576
227	0.5170664758
228	0.5169810394
229	0.5168917374
230	0.5168158497
