iter	Passed	Remaining
0	27	13848
1	55	13840
2	88	14604
3	102	12674
4	115	11439
5	134	11051
6	151	10683
7	164	10143
8	180	9859
9	194	9548
10	213	9480
11	231	9415
12	251	9423
13	265	9214
14	280	9081
15	295	8929
16	309	8788
17	325	8724
18	355	8987
19	369	8861
20	383	8755
21	396	8623
22	411	8538
23	426	8458
24	444	8451
25	459	8381
26	474	8320
27	491	8278
28	505	8204
29	520	8159
30	539	8162
31	553	8100
32	574	8130
33	592	8127
34	607	8070
35	622	8026
36	637	7980
37	655	7968
38	674	7968
39	694	7985
40	720	8060
41	751	8200
42	779	8279
43	806	8353
44	824	8336
45	839	8285
46	855	8241
47	870	8192
48	886	8157
49	904	8138
50	922	8123
51	938	8088
52	954	8048
53	977	8076
54	1018	8242
55	1070	8490
56	1131	8792
57	1228	9361
58	1264	9452
59	1313	9633
60	1344	9674
61	1386	9794
62	1428	9906
63	1469	10010
64	1507	10087
65	1533	10085
66	1564	10112
67	1592	10117
68	1614	10086
69	1634	10038
70	1664	10060
71	1690	10047
72	1717	10046
73	1744	10042
74	1774	10052
75	1795	10017
76	1822	10010
77	1843	9974
78	1863	9931
79	1879	9865
80	1894	9801
81	1910	9740
82	1927	9685
83	1951	9663
84	1969	9614
85	1981	9537
86	1998	9488
87	2013	9426
88	2029	9372
89	2046	9324
90	2066	9289
91	2084	9242
92	2100	9190
93	2113	9130
94	2129	9080
95	2143	9020
96	2170	9016
97	2189	8981
98	2206	8937
99	2222	8891
100	2238	8844
101	2257	8809
102	2274	8765
103	2290	8721
104	2306	8677
105	2322	8633
106	2344	8612
107	2360	8568
108	2378	8533
109	2394	8490
110	2411	8449
111	2427	8409
112	2440	8359
113	2454	8309
114	2475	8285
115	2491	8249
116	2504	8197
117	2518	8153
118	2534	8113
119	2549	8073
120	2567	8041
121	2583	8003
122	2599	7966
123	2616	7933
124	2632	7897
125	2648	7860
126	2668	7836
127	2683	7799
128	2700	7767
129	2716	7730
130	2732	7695
131	2755	7682
132	2774	7654
133	2789	7620
134	2805	7586
135	2821	7551
136	2837	7518
137	2852	7483
138	2871	7457
139	2887	7424
140	2903	7392
141	2918	7358
142	2934	7325
143	2951	7296
144	2968	7268
145	2988	7246
146	3004	7215
147	3020	7184
148	3036	7152
149	3050	7118
150	3067	7090
151	3084	7062
152	3101	7034
153	3117	7004
154	3133	6974
155	3148	6943
156	3168	6922
157	3185	6894
158	3202	6867
159	3218	6839
160	3233	6808
161	3249	6780
162	3265	6752
163	3281	6723
164	3298	6697
165	3314	6669
166	3330	6640
167	3344	6610
168	3359	6579
169	3373	6548
170	3391	6524
171	3405	6493
172	3420	6464
